@RELATION suicidal
@ATTRIBUTE class {1, 0}
@ATTRIBUTE sentence_count NUMERIC
@ATTRIBUTE average_word_length NUMERIC
@ATTRIBUTE word_I  NUMERIC
@ATTRIBUTE word_! NUMERIC
@ATTRIBUTE average_sentence_length NUMERIC

@DATA
1,6,3.65986394558,10,0,24.5
1,5,2.8125,3,0,6.4
1,7,3.22619047619,8,0,12.0
0,8,4.05490196078,7,0,31.875
0,37,3.39578454333,27,1,11.5405405405
1,51,3.62204724409,51,0,19.9215686275
1,6,3.57142857143,6,0,21.0
0,27,3.58689458689,24,0,13.0
1,17,3.74659400545,29,0,21.5882352941
0,4,3.66666666667,7,0,33.75
1,14,3.16279069767,14,0,9.21428571429
1,7,3.44047619048,8,0,12.0
0,13,3.63409090909,20,0,33.8461538462
1,17,3.45185185185,37,0,23.8235294118
0,5,3.8619047619,10,0,42.0
0,3,3.57575757576,2,0,11.0
1,41,3.51492537313,66,0,16.3414634146
1,14,3.76470588235,18,0,19.4285714286
1,27,3.48798076923,30,4,15.4074074074
1,5,3.60869565217,2,0,9.2
0,12,3.68461538462,19,0,21.6666666667
1,4,3.47126436782,5,0,21.75
0,12,3.89261744966,12,0,24.8333333333
1,16,3.43984962406,22,0,16.625
1,22,3.68599033816,32,0,18.8181818182
0,24,4.19194312796,11,0,17.5833333333
1,14,3.63157894737,12,0,14.9285714286
0,21,3.80064308682,7,1,14.8095238095
0,12,3.62857142857,7,0,14.5833333333
0,20,3.75,14,0,16.6
0,27,3.79204892966,11,6,12.1111111111
1,6,3.93043478261,9,0,19.1666666667
0,18,3.71764705882,7,0,14.1666666667
0,8,4.16990291262,3,0,25.75
0,53,3.671875,44,0,18.1132075472
1,54,3.66162162162,56,0,17.1296296296
1,11,3.30693069307,7,0,9.18181818182
1,34,3.77631578947,31,0,13.4117647059
0,9,3.85906040268,2,0,33.1111111111
1,37,3.3935309973,33,0,10.027027027
0,11,3.92893401015,1,9,17.9090909091
0,2,4.33333333333,0,0,12.0
0,10,3.73255813953,6,0,17.2
0,7,4.2030075188,1,1,19.0
0,25,3.37894736842,18,1,11.4
1,27,3.33716475096,17,0,9.66666666667
0,46,3.62020905923,29,0,18.7173913043
0,18,3.62553191489,15,0,26.1111111111
1,14,3.69178082192,17,0,20.8571428571
0,1,5.0,2,0,15.0
1,13,3.76205787781,20,0,23.9230769231
1,5,3.54368932039,7,0,20.6
1,14,3.26923076923,9,0,13.0
1,16,3.70516717325,25,0,20.5625
1,6,3.67441860465,12,0,21.5
1,18,3.57070707071,34,0,22.0
0,6,3.84905660377,3,0,17.6666666667
0,62,3.73876698015,12,1,15.435483871
0,8,3.75471698113,1,4,13.25
1,16,3.42319749216,23,0,19.9375
1,21,3.42896935933,32,0,17.0952380952
1,16,3.32121212121,18,0,10.3125
1,56,3.65457184325,29,2,12.3035714286
1,2,3.77551020408,5,0,24.5
0,7,3.33333333333,1,0,8.57142857143
0,8,3.39772727273,4,0,22.0
1,16,3.43654822335,8,0,12.3125
1,9,3.405,25,0,22.2222222222
0,9,3.81818181818,6,1,14.6666666667
1,8,3.61428571429,17,0,26.25
0,5,3.9797979798,6,0,19.8
1,153,3.33405522469,134,1,12.0718954248
0,23,3.66666666667,15,1,25.6956521739
1,86,3.71913746631,81,0,21.5697674419
1,1,3.11764705882,3,0,34.0
0,23,3.1387283237,24,2,15.0434782609
1,38,3.57410562181,14,0,15.4473684211
0,8,3.73109243697,2,0,14.875
1,2,4.12244897959,0,0,24.5
1,59,3.50714285714,42,0,9.49152542373
1,16,3.70224719101,12,0,11.125
1,2,3.15384615385,1,0,6.5
1,4,3.62790697674,2,0,10.75
0,5,3.7027027027,2,0,14.8
1,25,3.39156626506,21,0,13.28
0,45,3.39020537125,24,5,14.0666666667
0,9,4.4303030303,5,0,18.3333333333
1,2,4.20588235294,3,0,17.0
0,73,3.38743455497,58,15,18.3150684932
0,8,3.63861386139,7,3,25.25
1,44,3.55949008499,56,0,16.0454545455
1,40,3.8397260274,50,0,18.25
1,63,3.4458041958,33,1,9.07936507937
0,8,2.96913580247,6,42,20.25
1,9,3.56652360515,25,0,25.8888888889
0,5,3.87878787879,3,0,13.2
1,10,3.47457627119,17,0,17.7
0,52,3.61586314152,19,1,12.3653846154
1,5,3.54117647059,6,0,17.0
0,4,3.85,7,0,20.0
1,5,4.01935483871,8,0,31.0
1,11,3.859375,11,0,17.4545454545
0,1,3.9,3,0,30.0
1,4,3.11904761905,5,0,10.5
0,14,3.76082474227,25,1,34.6428571429
1,23,3.71714285714,18,1,15.2173913043
0,9,3.86982248521,4,0,18.7777777778
0,6,4.83495145631,3,0,17.1666666667
1,10,3.5923566879,13,0,15.7
0,5,3.98780487805,2,0,16.4
0,18,3.89160839161,4,1,15.8888888889
1,1,3.69230769231,0,0,13.0
1,33,3.75396825397,10,1,15.2727272727
